-1,0,0,0,0,1,-1,1,0,-1,0,0,1,-1,-1,-1,1,-1,1,1,1,-1,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,-1,1,-1,1,1,-1,-1,-1,1
1,0,0,0,0,-1,1,-1,0,1,0,0,-1,1,1,1,-1,0,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1,1,1,1,-1,-1,1,-1,1,-1,-1,1,1,1,-0.9
-1,0,0,0,0,1,-1,1,0,-1,0,0,1,-1,-1,-1,1,0,1,1,1,-1,1,1,0,-1,-1,1,1,-1,-1,-1,1,1,-1,1,-1,1,1,-1,-1,-1,0.81
1,0,0,0,0,-1,1,-1,0,0,0,0,-1,1,1,1,-1,0,-1,-1,-1,1,-1,-1,0,1,1,-1,-1,1,1,1,-1,-1,1,-1,1,-1,-1,1,1,1,-0.7290000000000001
-1,0,0,0,0,1,-1,1,0,0,0,0,1,-1,-1,-1,0,0,1,1,1,-1,1,1,0,-1,-1,1,1,-1,-1,-1,1,1,-1,1,-1,1,1,-1,-1,-1,0.6561000000000001
1,0,0,0,0,-1,1,-1,0,0,0,0,-1,1,1,0,0,0,-1,-1,-1,1,-1,-1,0,1,1,-1,-1,1,1,1,-1,-1,1,-1,1,-1,-1,1,1,1,-0.5904900000000002
-1,0,0,0,0,1,-1,1,0,0,0,0,1,-1,-1,0,0,0,1,1,1,-1,0,1,0,-1,-1,1,1,-1,-1,-1,1,1,-1,1,-1,1,1,-1,-1,-1,0.5314410000000002
0,0,0,0,0,-1,1,-1,0,0,0,0,-1,1,1,0,0,0,-1,-1,-1,1,0,-1,0,1,1,-1,-1,1,1,1,-1,-1,1,-1,1,-1,-1,1,1,1,-0.47829690000000014
0,0,0,0,0,1,-1,0,0,0,0,0,1,-1,-1,0,0,0,1,1,1,-1,0,1,0,-1,-1,1,1,-1,-1,-1,1,1,-1,1,-1,1,1,-1,-1,-1,0.43046721000000016
0,0,0,0,0,-1,1,0,0,0,0,0,-1,1,0,0,0,0,-1,-1,-1,1,0,-1,0,1,1,-1,-1,1,1,1,-1,-1,1,-1,1,-1,-1,1,1,1,-0.38742048900000015
0,0,0,0,0,1,-1,0,0,0,0,0,1,-1,0,0,0,0,1,1,1,-1,0,0,0,-1,-1,1,1,-1,-1,-1,1,1,-1,1,-1,1,1,-1,-1,-1,0.34867844010000015
0,0,0,0,0,-1,1,0,0,0,0,0,-1,1,0,0,0,0,-1,-1,-1,0,0,0,0,1,1,-1,-1,1,1,1,-1,-1,1,-1,1,-1,-1,1,1,1,-0.31381059609000017
0,0,0,0,0,1,-1,0,0,0,0,0,1,-1,0,0,0,0,1,1,1,0,0,0,0,-1,-1,1,0,-1,-1,-1,1,1,-1,1,-1,1,1,-1,-1,-1,0.28242953648100017
0,0,0,0,0,-1,1,0,0,0,0,0,-1,1,0,0,0,0,-1,-1,-1,0,0,0,0,1,1,-1,0,0,1,1,-1,-1,1,-1,1,-1,-1,1,1,1,-0.25418658283290013
